"Analysis ID","Analysis name","Strata ID","Strata name","Cohort ID","Cohort name","Covariate ID","Covariate name","Covariate short name","Count","Percent"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","200174202","condition_era during day -365 through 0 days relative to index: Disorder of skin AND/OR subcutaneous tissue"," Disorder of skin AND/OR subcutaneous tissue","9","4.477611940298507"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","439935202","condition_era during day -365 through 0 days relative to index: Abnormal posture"," Abnormal posture","5","2.4875621890547266"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","312940202","condition_era during day -365 through 0 days relative to index: Acute-on-chronic respiratory failure"," Acute-on-chronic respiratory failure","3","1.4925373134328357"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","81930202","condition_era during day -365 through 0 days relative to index: Transient arthropathy"," Transient arthropathy","3","1.4925373134328357"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","432453202","condition_era during day -365 through 0 days relative to index: General clinical state finding"," General clinical state finding","8","3.9800995024875623"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","316814202","condition_era during day -365 through 0 days relative to index: Hyperventilation"," Hyperventilation","5","2.4875621890547266"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","40482801202","condition_era during day -365 through 0 days relative to index: Type II diabetes mellitus uncontrolled"," Type II diabetes mellitus uncontrolled","33","16.417910447761194"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","438398202","condition_era during day -365 through 0 days relative to index: Leukocytosis"," Leukocytosis","9","4.477611940298507"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","74582202","condition_era during day -365 through 0 days relative to index: Primary malignant neoplasm of rectum"," Primary malignant neoplasm of rectum","3","1.4925373134328357"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","192357202","condition_era during day -365 through 0 days relative to index: Paralytic ileus"," Paralytic ileus","3","1.4925373134328357"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","381549202","condition_era during day -365 through 0 days relative to index: Migraine with aura"," Migraine with aura","6","2.9850746268656714"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","437529202","condition_era during day -365 through 0 days relative to index: Mixed bipolar I disorder in partial remission"," Mixed bipolar I disorder in partial remission","3","1.4925373134328357"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","197035202","condition_era during day -365 through 0 days relative to index: Acute pyelonephritis with medullary necrosis"," Acute pyelonephritis with medullary necrosis","5","2.4875621890547266"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","4115044202","condition_era during day -365 through 0 days relative to index: Acute infective exacerbation of chronic obstructive airways disease"," Acute infective exacerbation of chronic obstructive airways disease","3","1.4925373134328357"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","441872202","condition_era during day -365 through 0 days relative to index: Supraventricular premature beats"," Supraventricular premature beats","11","5.472636815920398"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","432451202","condition_era during day -365 through 0 days relative to index: Abnormal results function studies of central nervous system"," Abnormal results function studies of central nervous system","3","1.4925373134328357"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","4168222202","condition_era during day -365 through 0 days relative to index: Intra-abdominal and pelvic swelling, mass and lump"," Intra-abdominal and pelvic swelling, mass and lump","4","1.9900497512437811"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","320420202","condition_era during day -365 through 0 days relative to index: Vitreous degeneration"," Vitreous degeneration","10","4.975124378109453"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","197500202","condition_era during day -365 through 0 days relative to index: Primary malignant neoplasm of colon"," Primary malignant neoplasm of colon","9","4.477611940298507"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","316211202","condition_era during day -365 through 0 days relative to index: Acquired spondylolisthesis"," Acquired spondylolisthesis","3","1.4925373134328357"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","432585202","condition_era during day -365 through 0 days relative to index: Blood coagulation disorder"," Blood coagulation disorder","5","2.4875621890547266"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","192956202","condition_era during day -365 through 0 days relative to index: Cholecystitis"," Cholecystitis","3","1.4925373134328357"
"23","ConditionEraLongTerm","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","437663202","condition_era during day -365 through 0 days relative to index: Fever"," Fever","11","5.472636815920398"
