"Analysis ID","Analysis name","Strata ID","Strata name","Target cohort ID","Target cohort name","Comparator cohort ID","Comparator cohort name","Covariate ID","Covariate name","Covariate short name","Target count","Target percent","Comparator count","Comparator percent","Std. Diff Of Mean"
"27","ConditionGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","201072209","condition_era group any time prior through 0 days relative to index: Benign prostatic hypertrophy without outflow obstruction"," Benign prostatic hypertrophy without outflow obstruction","69","34.32835820895522","0","0","1.0225"
"27","ConditionGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","4129865209","condition_era group any time prior through 0 days relative to index: Neoplasm of soft tissues of head"," Neoplasm of soft tissues of head","18","8.955223880597014","0","0","0.4435"
"27","ConditionGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","314383209","condition_era group any time prior through 0 days relative to index: Myocarditis"," Myocarditis","16","7.960199004975125","0","0","0.4159"
"27","ConditionGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","4217633209","condition_era group any time prior through 0 days relative to index: Acrodermatitis"," Acrodermatitis","22","10.945273631840797","0","0","0.4958"
"27","ConditionGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","436385209","condition_era group any time prior through 0 days relative to index: Chronic disorganized schizophrenia with acute exacerbations"," Chronic disorganized schizophrenia with acute exacerbations","3","1.4925373134328357","0","0","0.1741"
"27","ConditionGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","192952209","condition_era group any time prior through 0 days relative to index: Hernia, with gangrene"," Hernia, with gangrene","8","3.9800995024875623","0","0","0.2879"
"27","ConditionGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","43531028209","condition_era group any time prior through 0 days relative to index: Mononeuropathy of lower limb"," Mononeuropathy of lower limb","10","4.975124378109453","0","0","0.3236"
"27","ConditionGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","80294209","condition_era group any time prior through 0 days relative to index: Foreign body in genitourinary tract"," Foreign body in genitourinary tract","4","1.9900497512437811","0","0","0.2015"
"27","ConditionGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","378444209","condition_era group any time prior through 0 days relative to index: Hearing disorder"," Hearing disorder","30","14.925373134328357","0","0","0.5923"
"27","ConditionGroupEraAnyTimePrior","0","All stratas","1770328","Graham replication:  warfarin new users with prior atrial fibrillation","1770327","Graham replication:  dabigatran new users with prior atrial fibrillation","434467209","condition_era group any time prior through 0 days relative to index: Ostium secundum type atrial septal defect"," Ostium secundum type atrial septal defect","5","2.4875621890547266","0","0","0.2259"
